DOI,PPC_Year,Abstract,agree,clarification,question,recommendation,disagree
10.1073/pnas.1414857111,2015,A vibrant discussion of the merits and limitations of animal models is long overdue. The limitation of space precludes addressing many of the questionable approaches and statements by Takao and Miyakawa (1).,0.06443499773740768,0.14647062122821808,0.45870688557624817,0.12463332712650299,0.2057541310787201
10.1073/pnas.1015229108,2011,"Haskew-Layton et al. (1) reported that subtoxic doses of H2O2 fails to activate nuclear factor erythroid 2-related factor (Nrf2) in astrocytes and triggers Nrf2-independent responses that protect cocultured neurons. Contrary to this, we show that mild oxidative insults, including subtoxic H2O2, strongly activate astrocytic Nrf2/antioxidant response element (ARE)-dependent gene expression, which, moreover, contributes to neuroprotective ischemic preconditioning.",0.007828062400221825,0.13760261237621307,0.054527007043361664,0.008159449324011803,0.7918828725814819
10.1073/pnas.1600282113,2016,"Lieberman and Eisenberger (1) claim that the dorsal anterior cingulate cortex (dACC) is selective for pain. This surprising conclusion contradicts a large body of evidence showing robust dACC responses to nonpainful conditions. Electrophysiological and optogenetic studies have identified neuronal populations activated during foraging behavior, attention, emotion, reward expectancy, skeletomotor and visceromotor activity, and other functions (e.g., refs. 25). Only a small minority of dACC neurons are pain-related.",0.01667727530002594,0.04307365417480469,0.18540608882904053,0.028506683185696602,0.7263363003730774
10.1073/pnas.1606615113,2016,"To understand the impact of microplastic (MP) pollution to aquatic ecosystems, it is important to identify the mechanisms of interaction with organisms. Exposure experiments, like the study of Sussarellu et al. (1) recently published in PNAS, may provide such insights. However, the results of doseresponse experiments must always be interpreted in light of environmental concentrations, and the experimental concentrations examined by Sussarellu et al. (1) and several others (28) are orders-of-magnitude higher than those reported from field studies (Fig. 1).",0.1863984763622284,0.17276282608509064,0.2646969258785248,0.045063506811857224,0.3310781717300415
10.1073/pnas.2200300119,2022,"Thaler and Sunsteins nudge (1) has spawned a revolution in behavioral science research. Despite its popularity, the nudge approach has been criticized for having a limited evidence base (e.g., ref. 2). Mertens et al. (3) seek to address that limitation with a timely and comprehensive metaanalysis. Mertens et al.s headline finding is that choice architecture [nudging] is an effective and widely applicable behavior change tool (p. 8). We propose their finding of moderate publication bias (p. 1) is the real headline; when this publication bias is appropriately corrected for, no evidence for the effectiveness of nudges remains (Fig. 1).",0.12635652720928192,0.3671262562274933,0.13730624318122864,0.21868060529232025,0.1505303978919983
10.1073/pnas.1307927110,2013,"Hannah et al. (1) recently published a comprehensive study showing substantial impacts of climate change on viticultural suitability, leading to potential ecological issues. We agree that expansion of viticulture into new areas can lead to a decrease in biodiversity and that an increase in water use for irrigation might lead to major freshwater conservation impacts. However, we disagree with the alarming statement that suitability for winegrowing of main wine-producing areas worldwide will dramatically decrease over the next 40 y. We point out major methodological flaws in ref. 1, mostly linked to (i) the misuse of bibliographical data to compute suitability index, (ii) underestimation of adaptations of viticulture to warmer conditions, and (iii) the inadequacy of the monthly time step in the suitability approach.",0.10559289157390594,0.09707111120223999,0.07240626215934753,0.027754995971918106,0.6971747279167175
10.1073/pnas.1614961114,2017,"We strongly disagree with Eklund et al.s (1) summary statement: Alarmingly, the parametric methods can give a very high degree of false positives (up to 
, compared with the nominal 
). For comparison, their own nonparametric methods results actually showed up to 40% FPR. When characterizing results, medians or percentile ranges are generally more informative summary statistics than maxima. Looking backward, the typical ranges show much smaller FPR inflation than what had been highlighted, and looking forward they provide useful suggestions for experimental design and analyses (lower voxelwise 
, event-related paradigms, etc.). By concentrating on the highest observed FPRs, the conclusions of Eklund et al. (1) are unnecessarily alarmist.",0.012878848239779472,0.11068767309188843,0.05066461116075516,0.12776578962802887,0.6980029940605164
10.1073/pnas.1207143109,2012,"In PNAS, the work by Schoch et al. (1) proposed nuclear ribosomal DNA internal transcribed spacer (ITS) sequences as the sole universal barcode for fungi. The work by Schoch et al. (1) stated that the proposal will satisfy most fungal biologists but not all (1).
I am among those biologists who are not so satisfied and not really surprised either, because ITS has been the most widely used marker for species identifications in mycology since the development of the first universal primers to amplify this DNA region in fungi. Its use as an unofficial fungal species barcode has also been criticized (2). It was also criticized because of its limits, including intraspecific variation. This aspect was discussed in the work by Schoch et al. (1) from different perspectives except one: the methodological dimension of revealing intraspecific variation in the ITS region.",0.030427124351263046,0.158693328499794,0.12466654926538467,0.06291203945875168,0.6233009099960327
10.1073/pnas.1304625110,2013,"As shown in Fig. 1B [also in figures S1 and S3 of Zhang et al. (1)], there is indeed an increase in the nongrowing season Système Pour l'Observation de la Terre (SPOT) NDVI for the steppes and meadows in the TP. After eliminating the impact of nongrowing season NDVI increase, we found no change of green-up dates in 20092011 compared with that in 19982000 (Fig. 1B). A similar result was also found using the Moderate Resolution Imaging Spectroradiometer (MODIS) NDVI data (Fig. 1C). Furthermore, because the green-up onset in the TP usually occurs in May and June during the period from 1998 to 2011 (1, 3, 4), the advance in green-up dates should result in an increase in the difference of NDVI between May and April, according to the method for retrieving green-up dates (2). However, such increase was not found in the NDVI datasets from both SPOT and MODIS (Fig. 1D). Therefore, so far, there is no evidence for the continuously advancing trend of green-up dates in the TP over the last decade. The continuously advancing trend of green-up dates revealed by Zhang et al. (1) is likely caused by not correcting for the increased nongrowing season NDVI.",0.05963979661464691,0.283795565366745,0.24335530400276184,0.045564018189907074,0.3676453232765198
10.1073/pnas.1502596112,2015,"Building upon fine particulate matter (PM2.5) data and the accompanying meteorological conditions in the fall of 2013, Guo et al. (1) conclude that local aerosol nucleation and growth dominantly contributed to severe haze in Beijing, whereas regional transport of PM2.5 played an insignificant role. Guo et al.s conclusion is surprising because it not only requires an uncharacteristic aerosol formation mode for Beijing, but also goes against a broadly held view that the entire eastern China region, or at least the North China Plain should be looked at as a single air basin if Beijings air quality is to be improved (2). Instead of curtailing the emission of aerosol precursor gases in a broader region, Guo et al.s (1) conclusion would advocate a campaign on limiting traffic and emission within and around the immediate vicinity of Beijing. Already, Beijings municipal government has increased urban traffic controls as its number one tactic in an effort to reduce PM2.5.* However, we believe that an in-depth scrutiny of the data makes science more accurate and science-based actions more efficient.",0.02994629554450512,0.16696403920650482,0.2215062528848648,0.16182710230350494,0.4197562634944916
